lambda0,lambda1,mu0,mu1,q0,q1,Likelihood
0.03656361,0.04279434,0,0,0.0006418677,0.004516508,-17464
0.03636546,0.04245216,0,0,0.0006751045,0.004448864,-17486.91
0.03746687,0.04520276,5.621206E-009,1.971051E-007,0.0007939342,0.004299545,-17349.14
0.03512388,0.03946821,4.3511E-007,0.000000341,0.0006864196,0.003577485,-17648.42
0.03622487,0.04098441,4.38114E-007,1.16336E-006,0.0007513091,0.003523257,-17525.65
0.03670985,0.04127328,4.951395E-006,0.00000112,0.000772636,0.00332074,-17471.75
0.03599482,0.04257511,3.781609E-008,0.000001864,0.0006084619,0.005063451,-17520.56
0.03681407,0.04390518,1.733809E-005,5.55602E-007,0.0007067904,0.004171151,-17424.15
0.03563186,0.04031519,7.62912E-007,1.845081E-007,0.0007092698,0.003432302,-17597.04
0.0367111,0.04236896,3.92771E-005,6.836447E-006,0.0007175238,0.004453576,-17473.11
0.0364697,0.04129293,8.732481E-007,5.974538E-006,0.0006872584,0.00425712,-17505.52
0.03643499,0.04206096,4.896068E-006,0.000001053,0.0007090594,0.003983709,-17497.14
0.03569646,0.04134701,3.334729E-006,1.09339E-005,0.0006859013,0.003783249,-17556.27
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02986253
0.03103798
1.106393e-06
8.504134e-08
0.0005710726
0.002919906
-18355.87
0.02732911
0.03089894
4.094322e-06
1.742527e-05
0.0005641251
0.00255376
-18635.09
0.02732911
0.03089894
4.094322e-06
1.742527e-05
0.0005641251
0.00255376
-18635.09
0.02732911
0.03089894
4.094322e-06
1.742527e-05
0.0005641251
0.00255376
-18635.09
